station_code,station_id,station_macro,sector,ware,side,role,owner,stock,inbound,outbound,net,allocation,price_cr,price_avg,alloc_value_cr,fill_alloc,s,m_model,a_model,fill_model,cohort,denominator,s_model,residual,cohort_m_fit,cohort_a_fit,cohort_n_offers,cohort_n_distinct_fills,cohort_bin_rmse,confidence
FBB-061,[0x56c6f],station_gen_factory_base_01_macro,Gaian Prophecy,terranmre,buy,food,pioneers,0.0,0.0,0.0,0.0,7740.0,75.0,54.0,417960.0,0.0,1.0,1.0,0.006,0.0,main/ration,allocation,0.999852,0.000148,0.995,0.006,2362,1556,0.009391,on-model
FBG-423,[0x12d7d],station_gen_factory_base_01_macro,Silent Witness I,foodrations,buy,food,argon,1387.0,0.0,0.0,1387.0,2025.0,17.41,21.0,42525.0,0.684938,-0.398889,1.0,0.006,0.684938,main/ration,allocation,-0.400011,0.001123,0.995,0.006,2362,1556,0.009391,on-model
FBG-423,[0x12d7d],station_gen_factory_base_01_macro,Silent Witness I,medicalsupplies,buy,food,argon,273.0,0.0,0.0,273.0,1215.0,84.33,66.0,80190.0,0.224691,0.796957,1.0,0.006,0.224691,main/ration,allocation,0.78885,0.008107,0.995,0.006,2362,1556,0.009391,on-model
FCI-890,[0x48774],station_gen_factory_base_01_macro,Family Nhuut,cheltmeat,buy,food,split,34.0,0.0,0.0,34.0,367.2,71.4,51.0,18727.2,0.092593,0.971429,1.0,0.006,0.092593,main/ration,allocation,0.96026,0.011169,0.995,0.006,2362,1556,0.009391,on-model
FCI-890,[0x48774],station_gen_factory_base_01_macro,Family Nhuut,medicalsupplies,buy,food,split,506.0,0.0,0.0,506.0,972.0,67.35,66.0,64152.0,0.520576,0.058696,1.0,0.006,0.520576,main/ration,allocation,0.059995,-0.0013,0.995,0.006,2362,1556,0.009391,on-model
FCI-890,[0x48774],station_gen_factory_base_01_macro,Family Nhuut,scruffinfruits,buy,food,split,469.0,0.0,0.0,469.0,496.8,17.77,28.0,13910.4,0.944042,-0.93,1.0,0.006,0.944042,main/ration,allocation,-0.914757,-0.015243,0.995,0.006,2362,1556,0.009391,on-model
FCV-423,[0xaaec6],station_gen_factory_base_01_macro,Uranus,medicalsupplies,buy,food,terran,1404.0,0.0,0.0,1404.0,1944.0,54.59,66.0,128304.0,0.722222,-0.496087,1.0,0.006,0.722222,main/ration,allocation,-0.495576,-0.000511,0.995,0.006,2362,1556,0.009391,on-model
FCV-423,[0xaaec6],station_gen_factory_base_01_macro,Uranus,terranmre,buy,food,terran,0.0,0.0,0.0,0.0,1857.6,75.0,54.0,100310.4,0.0,1.0,1.0,0.006,0.0,main/ration,allocation,0.999852,0.000148,0.995,0.006,2362,1556,0.009391,on-model
FDI-033,[0x830ab],station_gen_factory_base_01_macro,Pontifex's Claim,sojahusk,buy,food,holyorder,823.0,0.0,0.0,823.0,1036.8,23.32,32.0,33177.6,0.793789,-0.667692,1.0,0.006,0.793789,main/ration,allocation,-0.662255,-0.005437,0.995,0.006,2362,1556,0.009391,on-model
FDJ-749,[0x61a15],station_gen_factory_base_01_macro,Cardinal's Domain,medicalsupplies,buy,food,paranid,16021.0,0.0,0.0,16021.0,18711.0,46.66,66.0,1234926.0,0.856234,-0.84087,1.0,0.006,0.856234,main/ration,allocation,-0.785178,-0.055692,0.995,0.006,2362,1556,0.009391,on-model
FDJ-749,[0x61a15],station_gen_factory_base_01_macro,Cardinal's Domain,sojahusk,buy,food,paranid,18952.0,0.0,0.0,18952.0,19958.4,19.5,32.0,638668.8,0.949575,-0.961538,1.0,0.006,0.949575,main/ration,allocation,-0.921055,-0.040483,0.995,0.006,2362,1556,0.009391,on-model
FDP-989,[0x83a3e],station_gen_factory_base_01_macro,Pontifex's Claim,medicalsupplies,buy,food,holyorder,8699.0,0.0,0.0,8699.0,12636.0,56.59,66.0,833976.0,0.68843,-0.40913,1.0,0.006,0.68843,main/ration,allocation,-0.409172,4.2e-05,0.995,0.006,2362,1556,0.009391,on-model
FDP-989,[0x83a3e],station_gen_factory_base_01_macro,Pontifex's Claim,sojahusk,buy,food,holyorder,12850.0,628.0,0.0,13478.0,13478.4,19.26,32.0,431308.8,0.99997,-0.98,1.0,0.006,0.99997,main/ration,allocation,-0.967555,-0.012445,0.995,0.006,2362,1556,0.009391,on-model
FDZ-746,[0x1b4d2],station_gen_factory_base_01_macro,Second Contact VII,foodrations,buy,food,antigone,5314.0,0.0,0.0,5314.0,8100.0,18.1,21.0,170100.0,0.656049,-0.322222,1.0,0.006,0.656049,main/ration,allocation,-0.322762,0.00054,0.995,0.006,2362,1556,0.009391,on-model
FDZ-746,[0x1b4d2],station_gen_factory_base_01_macro,Second Contact VII,medicalsupplies,buy,food,antigone,1661.0,0.0,0.0,1661.0,4860.0,78.5,66.0,320760.0,0.34177,0.543478,1.0,0.006,0.34177,main/ration,allocation,0.542183,0.001295,0.995,0.006,2362,1556,0.009391,on-model
FEC-933,[0x709ee],station_gen_factory_base_01_macro,Menelaus' Oasis,bofu,buy,food,boron,0.0,0.0,0.0,0.0,324.0,142.0,101.0,32724.0,0.0,1.0,1.0,0.006,0.0,main/ration,allocation,0.999852,0.000148,0.995,0.006,2362,1556,0.009391,on-model
FEC-933,[0x709ee],station_gen_factory_base_01_macro,Menelaus' Oasis,medicalsupplies,buy,food,boron,690.0,0.0,0.0,690.0,712.8,44.08,66.0,47044.8,0.968013,-0.953043,1.0,0.006,0.968013,main/ration,allocation,-0.940358,-0.012685,0.995,0.006,2362,1556,0.009391,on-model
FEC-933,[0x709ee],station_gen_factory_base_01_macro,Menelaus' Oasis,water,buy,food,boron,419.0,0.0,0.0,419.0,583.2,42.75,53.0,30909.6,0.71845,-0.488095,1.0,0.006,0.71845,main/ration,allocation,-0.486147,-0.001948,0.995,0.006,2362,1556,0.009391,on-model
FEO-644,[0x1e9d7],station_gen_factory_base_01_macro,Morning Star III,foodrations,buy,food,argon,658.0,0.0,0.0,658.0,675.0,12.36,21.0,14175.0,0.974815,-0.96,1.0,0.006,0.974815,main/ration,allocation,-0.946817,-0.013183,0.995,0.006,2362,1556,0.009391,on-model
FEO-644,[0x1e9d7],station_gen_factory_base_01_macro,Morning Star III,medicalsupplies,buy,food,argon,0.0,0.0,0.0,0.0,405.0,89.0,66.0,26730.0,0.0,1.0,1.0,0.006,0.0,main/ration,allocation,0.999852,0.000148,0.995,0.006,2362,1556,0.009391,on-model
FFR-381,[0x982e6],station_gen_factory_base_01_macro,Family Zhin,cheltmeat,buy,food,split,148.0,0.0,0.0,148.0,367.2,59.06,51.0,18727.2,0.40305,0.38381,1.0,0.006,0.40305,main/ration,allocation,0.386854,-0.003044,0.995,0.006,2362,1556,0.009391,on-model
FFR-381,[0x982e6],station_gen_factory_base_01_macro,Family Zhin,medicalsupplies,buy,food,split,569.0,0.0,0.0,569.0,972.0,63.09,66.0,64152.0,0.585391,-0.126522,1.0,0.006,0.585391,main/ration,allocation,-0.125592,-0.00093,0.995,0.006,2362,1556,0.009391,on-model
FFR-381,[0x982e6],station_gen_factory_base_01_macro,Family Zhin,scruffinfruits,buy,food,split,487.0,0.0,0.0,487.0,496.8,17.36,28.0,13910.4,0.980274,-0.967273,1.0,0.006,0.980274,main/ration,allocation,-0.95174,-0.015533,0.995,0.006,2362,1556,0.009391,on-model
FGJ-735,[0x77bae],station_gen_factory_base_01_macro,Second Contact II Flashpoint,foodrations,buy,food,antigone,2334.0,0.0,0.0,2334.0,2835.0,14.44,21.0,59535.0,0.82328,-0.728889,1.0,0.006,0.82328,main/ration,allocation,-0.723209,-0.00568,0.995,0.006,2362,1556,0.009391,on-model
FGJ-735,[0x77bae],station_gen_factory_base_01_macro,Second Contact II Flashpoint,medicalsupplies,buy,food,antigone,1084.0,0.0,0.0,1084.0,1701.0,59.79,66.0,112266.0,0.637272,-0.27,1.0,0.006,0.637272,main/ration,allocation,-0.271329,0.001329,0.995,0.006,2362,1556,0.009391,on-model
FIG-570,[0x2e2c5],station_gen_factory_base_01_macro,Second Contact XI,foodrations,buy,food,antigone,3204.0,0.0,0.0,3204.0,4860.0,17.06,21.0,102060.0,0.659259,-0.437778,1.0,0.006,0.659259,main/ration,allocation,-0.331464,-0.106313,0.995,0.006,2362,1556,0.009391,off-model
FIG-570,[0x2e2c5],station_gen_factory_base_01_macro,Second Contact XI,medicalsupplies,buy,food,antigone,0.0,0.0,0.0,0.0,2916.0,89.0,66.0,192456.0,0.0,1.0,1.0,0.006,0.0,main/ration,allocation,0.999852,0.000148,0.995,0.006,2362,1556,0.009391,on-model
FIN-860,[0x97c10],station_gen_factory_base_01_macro,Family Zhin,cheltmeat,buy,food,split,1907.0,0.0,0.0,1907.0,2203.2,34.8,51.0,112363.2,0.865559,-0.81,1.0,0.006,0.865559,main/ration,allocation,-0.801463,-0.008537,0.995,0.006,2362,1556,0.009391,on-model
FIN-860,[0x97c10],station_gen_factory_base_01_macro,Family Zhin,medicalsupplies,buy,food,split,4057.0,0.0,0.0,4057.0,5832.0,56.16,66.0,384912.0,0.695645,-0.427826,1.0,0.006,0.695645,main/ration,allocation,-0.427971,0.000145,0.995,0.006,2362,1556,0.009391,on-model
FIN-860,[0x97c10],station_gen_factory_base_01_macro,Family Zhin,scruffinfruits,buy,food,split,2872.0,0.0,0.0,2872.0,2980.8,17.56,28.0,83462.4,0.9635,-0.949091,1.0,0.006,0.9635,main/ration,allocation,-0.935874,-0.013217,0.995,0.006,2362,1556,0.009391,on-model
FIY-224,[0x3a0b6],station_gen_factory_base_01_macro,Hewa's Twin II,medicalsupplies,buy,food,teladi,1198.0,0.0,0.0,1198.0,1458.0,49.3,66.0,96228.0,0.821674,-0.726087,1.0,0.006,0.821674,main/ration,allocation,-0.720017,-0.006069,0.995,0.006,2362,1556,0.009391,on-model
FIY-224,[0x3a0b6],station_gen_factory_base_01_macro,Hewa's Twin II,nostropoil,buy,food,teladi,606.0,0.0,0.0,606.0,1231.2,35.82,34.0,41860.8,0.492203,0.14,1.0,0.006,0.492203,main/ration,allocation,0.140964,-0.000964,0.995,0.006,2362,1556,0.009391,on-model
FIY-474,[0x8587a],station_gen_factory_base_01_macro,Hatikvah's Choice III,foodrations,buy,food,argon,6663.0,0.0,0.0,6663.0,8910.0,15.97,21.0,187110.0,0.747811,-0.558889,1.0,0.006,0.747811,main/ration,allocation,-0.557951,-0.000938,0.995,0.006,2362,1556,0.009391,on-model
FIY-474,[0x8587a],station_gen_factory_base_01_macro,Hatikvah's Choice III,medicalsupplies,buy,food,argon,714.0,0.0,0.0,714.0,5346.0,87.45,66.0,352836.0,0.133558,0.932609,1.0,0.006,0.133558,main/ration,allocation,0.920907,0.011702,0.995,0.006,2362,1556,0.009391,on-model
FJG-544,[0x2c2b4],station_gen_factory_base_01_macro,Guiding Star V,foodrations,buy,food,argon,4740.0,0.0,0.0,4740.0,6885.0,17.32,21.0,144585.0,0.688453,-0.408889,1.0,0.006,0.688453,main/ration,allocation,-0.409233,0.000344,0.995,0.006,2362,1556,0.009391,on-model
FJG-544,[0x2c2b4],station_gen_factory_base_01_macro,Guiding Star V,medicalsupplies,buy,food,argon,1715.0,0.0,0.0,1715.0,4131.0,74.15,66.0,272646.0,0.415154,0.354348,1.0,0.006,0.415154,main/ration,allocation,0.354605,-0.000257,0.995,0.006,2362,1556,0.009391,on-model
FJI-809,[0x4c452],station_gen_factory_base_01_macro,Grand Exchange IV,medicalsupplies,buy,food,teladi,1204.0,0.0,0.0,1204.0,4860.0,83.3,66.0,320760.0,0.247737,0.752174,1.0,0.006,0.247737,main/ration,allocation,0.746521,0.005653,0.995,0.006,2362,1556,0.009391,on-model
FJI-809,[0x4c452],station_gen_factory_base_01_macro,Grand Exchange IV,nostropoil,buy,food,teladi,1361.0,0.0,0.0,1361.0,4104.0,41.38,34.0,139536.0,0.331628,0.567692,1.0,0.006,0.331628,main/ration,allocation,0.5664,0.001292,0.995,0.006,2362,1556,0.009391,on-model
FJQ-165,[0x7709b],station_gen_factory_base_01_macro,Second Contact II Flashpoint,foodrations,buy,food,antigone,1830.0,0.0,0.0,1830.0,2025.0,13.15,21.0,42525.0,0.903704,-0.872222,1.0,0.006,0.903704,main/ration,allocation,-0.861986,-0.010236,0.995,0.006,2362,1556,0.009391,on-model
FJQ-165,[0x7709b],station_gen_factory_base_01_macro,Second Contact II Flashpoint,medicalsupplies,buy,food,antigone,607.0,0.0,0.0,607.0,1215.0,68.77,66.0,80190.0,0.499588,0.120435,1.0,0.006,0.499588,main/ration,allocation,0.119956,0.000479,0.995,0.006,2362,1556,0.009391,on-model
FKH-117,[0xad130],station_gen_factory_base_01_macro,Ianamus Zura IV,medicalsupplies,buy,food,teladi,1825.0,0.0,0.0,1825.0,7290.0,83.18,66.0,481140.0,0.250343,0.746957,1.0,0.006,0.250343,main/ration,allocation,0.741524,0.005432,0.995,0.006,2362,1556,0.009391,on-model
FKH-117,[0xad130],station_gen_factory_base_01_macro,Ianamus Zura IV,nostropoil,buy,food,teladi,4033.0,0.0,0.0,4033.0,6156.0,29.52,34.0,209304.0,0.655133,-0.32,1.0,0.006,0.655133,main/ration,allocation,-0.320273,0.000273,0.995,0.006,2362,1556,0.009391,on-model
FLD-482,[0x6b9d5],station_gen_factory_base_01_macro,Pious Mists II,medicalsupplies,buy,food,paranid,1601.0,0.0,0.0,1601.0,4860.0,77.22,66.0,320760.0,0.329424,0.487826,1.0,0.006,0.329424,main/ration,allocation,0.571599,-0.083773,0.995,0.006,2362,1556,0.009391,on-model
FLD-482,[0x6b9d5],station_gen_factory_base_01_macro,Pious Mists II,sojahusk,buy,food,paranid,0.0,0.0,0.0,0.0,5184.0,45.0,32.0,165888.0,0.0,1.0,1.0,0.006,0.0,main/ration,allocation,0.999852,0.000148,0.995,0.006,2362,1556,0.009391,on-model
FMT-434,[0x32d3a],station_gen_factory_base_01_macro,Neptune,medicalsupplies,buy,food,terran,830.0,0.0,0.0,830.0,972.0,47.85,66.0,64152.0,0.853909,-0.78913,1.0,0.006,0.853909,main/ration,allocation,-0.78103,-0.0081,0.995,0.006,2362,1556,0.009391,on-model
